path,bytes,sha256
A2\L00\agent_output.json,4572,a07805ea4b267b5b4c79587e30d7151acda0df6b8088f2284b59ca12fd23a71f
A2\L00\cad_ir.json,3638,c2040eea08795942298f9bfd52c0afeab8dbcead920813671d5e0b8858053ac7
A2\L00\cad_validity.json,881,8de855010f9ce1fab76bd7a33819f22a5567d3dc3e7915daff8c873d8db665f6
A2\L00\execution_log.json,6527,be24b7df79afa7e990a4946c2c83e1c34ccbe408a3f0b38c6daee6140a234550
A2\L00\execution_result.json,922,b2a97dd7d90d9cf170d59cd822fca80b9847f475aa603fb6c7309c620a23a4a1
A2\L00\feature_tree.json,2934,15705871cce9ebaf2eeee3014f07924f39047efa11db386b615f8fad6bb1f063
A2\L00\freecad_job.json,208,5ee2d2e3387e6fc3a2314eb7a834ae728bb0d2067c1e6d6a75fee8091ec0cb16
A2\L00\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
A2\L00\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
A2\L00\InterfaceRefs.json,681,ce2f844ee57f66d4e5775b30c0172c7ec31cc57390eed407863cc6bb4c28e933
A2\L00\LinkCoarseSpec.json,647,3f989eaae840187560b99ab7361c8c3ee9e9ae5ea39e7c4d64a715cd75c79253
A2\L00\model.FCStd,7884,32a481295bf4d196e9e4a41372f888090f1a82b904eca4993313c8151f1c73ff
A2\L00\model.step,10050,e0530f492c0653661c628c768ad682faa4884ab29f769e6d8c45be8ec487deb0
A2\L00\model.stl,75484,db341a79f3af1e7ee7da85511a3f602d2ccfaab661bd0f019945da1bbdf5b28a
A2\L00\parameter_manifest.json,817,e210ca85fde8ac637afb8b79072d61e55500fad7a4915a92f64494c81d20c3ee
A2\L00\part_state.json,198,381def84a18247b5a389a7978b0432a14e00b8786742125a0eb670528e3a6d31
A2\L01\agent_output.json,5890,715902434109109dd8b07e98c83143764688decdf9bccaf6655c6bd6a3c77ae3
A2\L01\cad_ir.json,4641,2bfc8f97a93814aaadc21780dadd9f2eabe45ef6d35f9c0b12efb4799854f943
A2\L01\cad_validity.json,866,b89656e0aa47ffeca0012206b1af300f3d7bad999d87fac0e97dcfe8449c318e
A2\L01\execution_log.json,7857,bffc8e76ca1521fead09014832d1aa92b0e282616396b58176ff43199fda832d
A2\L01\execution_result.json,908,3cd70fafd63e407f67e4910871c6ced91c33ba3f7ed069dff3f32a850bd20204
A2\L01\feature_tree.json,3736,1a80962e7f08df2d5c821d5eb3156c2f91eceb05882739a87462491461e45fe6
A2\L01\freecad_job.json,208,97f5920e4121711a5b4e0c954cddbe48584827dcfadc7d5d5edbd7aa7b594841
A2\L01\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
A2\L01\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
A2\L01\InterfaceRefs.json,1264,cc7188ad431dd17a15237c1cd6d9a73137b37d469719dfcec9fc9fff4b07e713
A2\L01\LinkCoarseSpec.json,661,eb7abb9bc776129f25cefd864c626ee7b89f644b19e8171eb06cc3cda52c33cb
A2\L01\model.FCStd,9063,10c60dae626796d3230276de6cd3a1a8f916b46b832f1dba9a84ee3fa76185b9
A2\L01\model.step,13702,50240f79362d43b1a162791309791989133c10b9a8480292e45278886edcdc36
A2\L01\model.stl,100484,f66e6be955d9c9a495a23fe4b94bf9275fa02c76b1c3c785e9afcfdd1fcfd623
A2\L01\parameter_manifest.json,1400,b86798fd48daf501a09ffa32be9ddf2aa3a8994cad11fd102c01d2d87256dc2e
A2\L01\part_state.json,198,a3f11983b2640ba9ba122f93550620dce32cf68ecd85cb17ee3a5fe09e7de434
A2\L02\agent_output.json,7027,e90a156a5d70c6ac2e6611c748c896b87f5f820bb7abd175dce51a290f9c03cf
A2\L02\cad_ir.json,5679,82b236e5cfd0f80a6c5bac24502f68acd342328af7ad5b0ed2f7e79db2317907
A2\L02\cad_validity.json,879,c69c4a04cd322edb018144997e7fb618dd221fcca795d5421cb4e569d0f1ad10
A2\L02\execution_log.json,9147,10a5ddc1c729cd1a671f6b073dd491e28bef487cf8916c18c520b50abb17438e
A2\L02\execution_result.json,920,1f41b8d6444c12508d39162e5badd4e760fa15f2aa380db0ca27f5981d688dde
A2\L02\feature_tree.json,4452,c1195622b848b6d7664352f5fa8b258293aab9b45439cba395205f9e9799a604
A2\L02\freecad_job.json,208,1106456bc64c0c64888f9a2aa5eaa62c176652958389a1435e68fef560449771
A2\L02\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
A2\L02\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
A2\L02\InterfaceRefs.json,1261,4edf90d9cb98d232a9240b604626fa069a34a789bd57cebfcf688ab8b69f9730
A2\L02\LinkCoarseSpec.json,670,3986fdf7747b7e58b380a64804cbc0aa9c14ea32f453f87d932bd1ebf2d0d652
A2\L02\model.FCStd,11081,a673ce89e5ab8916864a42215f5f00be0c1d40ad7ae3cfc799f23682e5dc0e22
A2\L02\model.step,24438,04437ec5df36b39ac326aef940d9c28a6a4e7d6d8f526cafa60d627f2155d161
A2\L02\model.stl,76684,3d4725feca6be1eefa3686bbd517ad8f0ef50f10c71aaaa4e140e02378203d94
A2\L02\parameter_manifest.json,1397,936089af596eb26d600892ac3a20ab8d56bf2d080c6a1a86a537cec081606b53
A2\L02\part_state.json,198,2bc6d5cbffd69358c9f7568524dde738ba9f8fdf1d5072378a8144d876a289f1
A2\L03\agent_output.json,5848,f553532c8b77856221170bf14db83fdd69d48391be3232025c348aa85f000310
A2\L03\cad_ir.json,4606,8cdac4d8a2b5e1c25fcd987cba61556496e1ab5ce8fb1075ca22136736ecf646
